Text,Image,Folio
urn:cts:greekLit:tlg5026.msAext.hmt:15.1,"urn:cite:hmt:vaimg.VA191RN-0362@0.811,0.3561,0.036,0.0218",urn:cite:hmt:msA.191r
urn:cts:greekLit:tlg5026.msAext.hmt:15.2,"urn:cite:hmt:vaimg.VA191VN-0693@0.147,0.5222,0.048,0.0233",urn:cite:hmt:msA.191v
urn:cts:greekLit:tlg5026.msAext.hmt:15.3,"urn:cite:hmt:vaimg.VA191VN-0693@0.15,0.6784,0.051,0.0203",urn:cite:hmt:msA.191v
urn:cts:greekLit:tlg5026.msAext.hmt:15.4,"urn:cite:hmt:vaimg.VA192RN-0363@0.816,0.2246,0.053,0.0248",urn:cite:hmt:msA.192r
urn:cts:greekLit:tlg5026.msAext.hmt:15.5,"urn:cite:hmt:vaimg.VA192RN-0363@0.819,0.3381,0.061,0.0233",urn:cite:hmt:msA.192r
urn:cts:greekLit:tlg5026.msAext.hmt:15.6,"urn:cite:hmt:vaimg.VA192RN-0363@0.804,0.5071,0.07,0.024",urn:cite:hmt:msA.192r
urn:cts:greekLit:tlg5026.msAext.hmt:15.7,"urn:cite:hmt:vaimg.VA192RN-0363@0.811,0.5898,0.079,0.0338",urn:cite:hmt:msA.192r
urn:cts:greekLit:tlg5026.msAext.hmt:15.8,"urn:cite:hmt:vaimg.VA192VN-0694@0.16,0.3569,0.036,0.0188",urn:cite:hmt:msA.192v
urn:cts:greekLit:tlg5026.msAext.hmt:15.9,"urn:cite:hmt:vaimg.VA194RN-0365@0.816,0.3584,0.055,0.024",urn:cite:hmt:msA.194r
urn:cts:greekLit:tlg5026.msAext.hmt:15.10,"urn:cite:hmt:vaimg.VA195RN-0366@0.809,0.2968,0.058,0.0225",urn:cite:hmt:msA.195r
urn:cts:greekLit:tlg5026.msAext.hmt:15.11,"urn:cite:hmt:vaimg.VA195RN-0366@0.804,0.6807,0.067,0.024",urn:cite:hmt:msA.195r
urn:cts:greekLit:tlg5026.msAext.hmt:15.12,"urn:cite:hmt:vaimg.VA196VN-0698@0.142,0.6026,0.036,0.0225",urn:cite:hmt:msA.196v
urn:cts:greekLit:tlg5026.msAext.hmt:15.13,"urn:cite:hmt:vaimg.VA197RN-0368@0.836,0.3148,0.041,0.0255",urn:cite:hmt:msA.197r
urn:cts:greekLit:tlg5026.msAext.hmt:15.14,"urn:cite:hmt:vaimg.VA197RN-0368@0.819,0.3351,0.054,0.027",urn:cite:hmt:msA.197r
urn:cts:greekLit:tlg5026.msAext.hmt:15.15,"urn:cite:hmt:vaimg.VA197VN-0699@0.134,0.4726,0.079,0.0278",urn:cite:hmt:msA.197v
urn:cts:greekLit:tlg5026.msAext.hmt:15.16,"urn:cite:hmt:vaimg.VA199VN-0701@0.149,0.4057,0.071,0.0308",urn:cite:hmt:msA.199v
urn:cts:greekLit:tlg5026.msAext.hmt:15.17,"urn:cite:hmt:vaimg.VA200RN-0371@0.815,0.544,0.037,0.0195",urn:cite:hmt:msA.200r
urn:cts:greekLit:tlg5026.msAext.hmt:15.18,"urn:cite:hmt:vaimg.VA200VN-0702@0.131,0.5507,0.028,0.0165",urn:cite:hmt:msA.200v
urn:cts:greekLit:tlg5026.msAext.hmt:15.19,"urn:cite:hmt:vaimg.VA202RN-0373@0.739,0.4876,0.121,0.0293",urn:cite:hmt:msA.202r
urn:cts:greekLit:tlg5026.msAext.hmt:15.20,"urn:cite:hmt:vaimg.VA203VN-0705@0.126,0.4418,0.055,0.0301",urn:cite:hmt:msA.203v
urn:cts:greekLit:tlg5026.msAext.hmt:15.21,"urn:cite:hmt:vaimg.VA204VN-0706@0.163,0.5695,0.04,0.0263",urn:cite:hmt:msA.204v
urn:cts:greekLit:tlg5026.msAext.hmt:15.22,"urn:cite:hmt:vaimg.VA204VN-0706@0.208,0.5627,0.054,0.0248",urn:cite:hmt:msA.204v
urn:cts:greekLit:tlg5026.msAext.hmt:15.23,"urn:cite:hmt:vaimg.VA205RN-0376@0.818,0.1225,0.069,0.0391",urn:cite:hmt:msA.205r
urn:cts:greekLit:tlg5026.msAext.hmt:15.24,"urn:cite:hmt:vaimg.VA205VN-0707@0.139,0.5552,0.075,0.0255",urn:cite:hmt:msA.205v
