Text,Image,Folio
urn:cts:greekLit:tlg5026.msAil.hmt:15.1,"urn:cite:hmt:vaimg.VA191RN-0362@0.539,0.3869,0.073,0.018",urn:cite:hmt:msA.191r
urn:cts:greekLit:tlg5026.msAil.hmt:15.2,"urn:cite:hmt:vaimg.VA191RN-0362@0.419,0.4598,0.09,0.018",urn:cite:hmt:msA.191r
urn:cts:greekLit:tlg5026.msAil.hmt:15.3,"urn:cite:hmt:vaimg.VA191RN-0362@0.278,0.4966,0.062,0.0135",urn:cite:hmt:msA.191r
urn:cts:greekLit:tlg5026.msAil.hmt:15.4,"urn:cite:hmt:vaimg.VA191VN-0693@0.862,0.6657,0.056,0.027",urn:cite:hmt:msA.191v
urn:cts:greekLit:tlg5026.msAil.hmt:15.5,"urn:cite:hmt:vaimg.VA192VN-0694@0.725,0.4215,0.047,0.0158",urn:cite:hmt:msA.192v
urn:cts:greekLit:tlg5026.msAil.hmt:15.6,"urn:cite:hmt:vaimg.VA192VN-0694@0.71,0.4981,0.054,0.0128",urn:cite:hmt:msA.192v
urn:cts:greekLit:tlg5026.msAil.hmt:15.7,"urn:cite:hmt:vaimg.VA192VN-0694@0.692,0.6491,0.062,0.0143",urn:cite:hmt:msA.192v
urn:cts:greekLit:tlg5026.msAil.hmt:15.8,"urn:cite:hmt:vaimg.VA192VN-0694@0.853,0.6672,0.028,0.0143",urn:cite:hmt:msA.192v
urn:cts:greekLit:tlg5026.msAil.hmt:15.9,"urn:cite:hmt:vaimg.VA193RN-0364@0.176,0.2457,0.092,0.0158",urn:cite:hmt:msA.193r
urn:cts:greekLit:tlg5026.msAil.hmt:15.10,"urn:cite:hmt:vaimg.VA193RN-0364@0.338,0.263,0.08,0.018",urn:cite:hmt:msA.193r
urn:cts:greekLit:tlg5026.msAil.hmt:15.11,"urn:cite:hmt:vaimg.VA193RN-0364@0.45,0.269,0.03,0.0128",urn:cite:hmt:msA.193r
urn:cts:greekLit:tlg5026.msAil.hmt:15.12,"urn:cite:hmt:vaimg.VA193RN-0364@0.306,0.4568,0.06,0.015",urn:cite:hmt:msA.193r
urn:cts:greekLit:tlg5026.msAil.hmt:15.13,"urn:cite:hmt:vaimg.VA193RN-0364@0.213,0.5011,0.019,0.0105",urn:cite:hmt:msA.193r
urn:cts:greekLit:tlg5026.msAil.hmt:15.14,"urn:cite:hmt:vaimg.VA193RN-0364@0.449,0.5755,0.015,0.0098",urn:cite:hmt:msA.193r
urn:cts:greekLit:tlg5026.msAil.hmt:15.15,"urn:cite:hmt:vaimg.VA193VN-0695@0.721,0.2329,0.016,0.0135",urn:cite:hmt:msA.193v
urn:cts:greekLit:tlg5026.msAil.hmt:15.16,"urn:cite:hmt:vaimg.VA194RN-0365@0.332,0.4275,0.014,0.0105",urn:cite:hmt:msA.194r
urn:cts:greekLit:tlg5026.msAil.hmt:15.17,"urn:cite:hmt:vaimg.VA194VN-0696@0.838,0.2908,0.052,0.0218",urn:cite:hmt:msA.194v
urn:cts:greekLit:tlg5026.msAil.hmt:15.X,"IMG",urn:cite:hmt:msA.X
urn:cts:greekLit:tlg5026.msAil.hmt:15.X,"IMG",urn:cite:hmt:msA.X
urn:cts:greekLit:tlg5026.msAil.hmt:15.X,"IMG",urn:cite:hmt:msA.X
urn:cts:greekLit:tlg5026.msAil.hmt:15.X,"IMG",urn:cite:hmt:msA.X
urn:cts:greekLit:tlg5026.msAil.hmt:15.X,"IMG",urn:cite:hmt:msA.X
urn:cts:greekLit:tlg5026.msAil.hmt:15.X,"IMG",urn:cite:hmt:msA.X
urn:cts:greekLit:tlg5026.msAil.hmt:15.X,"IMG",urn:cite:hmt:msA.X
urn:cts:greekLit:tlg5026.msAil.hmt:15.X,"IMG",urn:cite:hmt:msA.X
urn:cts:greekLit:tlg5026.msAil.hmt:15.X,"IMG",urn:cite:hmt:msA.X
urn:cts:greekLit:tlg5026.msAil.hmt:15.X,"IMG",urn:cite:hmt:msA.X
urn:cts:greekLit:tlg5026.msAil.hmt:15.X,"IMG",urn:cite:hmt:msA.X
urn:cts:greekLit:tlg5026.msAil.hmt:15.X,"IMG",urn:cite:hmt:msA.X
urn:cts:greekLit:tlg5026.msAil.hmt:15.X,"IMG",urn:cite:hmt:msA.X
urn:cts:greekLit:tlg5026.msAil.hmt:15.X,"IMG",urn:cite:hmt:msA.X
urn:cts:greekLit:tlg5026.msAil.hmt:15.X,"IMG",urn:cite:hmt:msA.X
urn:cts:greekLit:tlg5026.msAil.hmt:15.X,"IMG",urn:cite:hmt:msA.X
